1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
99999 449.1874 99999 99999 416.266 545.2978 99999 99999 99999 99999 99999 99999 316.7506 479.315 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
449.1874 99999 99999 99999 99999 99999 99999 99999 99999 503.8078 99999 99999 582.8365 311.0634 99999 99999 442.1213 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999
99999 99999 99999 99999 338.1302 449.6854 463.2332 99999 328.3234 99999 99999 99999 99999 99999 548.7355 99999 99999 99999 99999 99999 99999 99999 428.733 99999 99999 99999 99999 99999 99999 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 477.2548 99999 99999 99999 99999 99999 99999 550.5182 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 506.3234 99999
416.266 99999 338.1302 99999 99999 364.5442 577.1837 99999 99999 99999 99999 99999 541.0961 99999 437.3794 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 595.1511
545.2978 99999 449.6854 99999 364.5442 99999 296.9246 99999 99999 99999 99999 99999 431.4462 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 258.7995
99999 99999 463.2332 99999 577.1837 296.9246 99999 99999 433.0547 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 407.0629
99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 530.1592 99999 99999 99999 268.8877 99999 498.5561 99999 99999 99999 450.1331 99999 99999 99999 99999 99999 99999 99999 99999
99999 99999 328.3234 99999 99999 99999 433.0547 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 320.7134 99999 99999 99999 452.252 99999 99999 99999 99999 99999 99999 99999
99999 503.8078 99999 477.2548 99999 99999 99999 99999 99999 99999 459.9402 99999 99999 334.4935 99999 99999 352.5686 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 99999 464.0281 99999
99999 99999 99999 99999 99999 99999 99999 99999 99999 459.9402 99999 99999 99999 528.2188 99999 477.2569 99999 315.8409 99999 99999 99999 99999 99999 552.2324 99999 99999 99999 99999 281.6071 99999
